0.999989	117626.409937	0.995246	0.997271	0.997994	0.998344	0.998581	0.998753	0.998901	0.999040	0.008555	0.005215	0.003859	0.003178	0.002717	0.002387	0.002105	0.001840	
0.999989	113335.839733	0.999097	0.999804	0.999937	0.999965	0.999994	1.000000	1.000000	1.000000	0.001583	0.000392	0.000126	0.000069	0.000012	0.000000	0.000000	0.000000	
0.999992	216007.853145	0.987400	0.989839	0.991111	0.991942	0.992597	0.993152	0.993658	0.994132	0.016797	0.013249	0.011470	0.010394	0.009569	0.008906	0.008316	0.007751	
0.999765	36271.857802	0.963006	0.964054	0.964538	0.964922	0.965294	0.965665	0.966037	0.966408	0.069001	0.067055	0.066134	0.065412	0.064715	0.064019	0.063322	0.062625	
0.999968	75345.499373	0.988720	0.989704	0.990289	0.990702	0.991032	0.991340	0.991631	0.991917	0.020410	0.018828	0.017918	0.017283	0.016772	0.016289	0.015822	0.015361	
0.999988	111186.337382	0.998380	0.999543	0.999745	0.999845	0.999919	0.999963	0.999986	1.000000	0.002602	0.000894	0.000504	0.000309	0.000162	0.000074	0.000028	0.000000	
0.999981	70619.489733	0.998412	0.998661	0.998823	0.998958	0.999093	0.999215	0.999318	0.999408	0.002829	0.002353	0.002051	0.001804	0.001557	0.001334	0.001152	0.000994	
0.998221	676.659142	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.996857	378.202140	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.999962	46966.698969	0.989520	0.991240	0.992116	0.992681	0.993089	0.993412	0.993690	0.993956	0.019996	0.016590	0.014870	0.013773	0.012990	0.012377	0.011854	0.011356	
0.999947	165339.818130	0.975110	0.979341	0.981259	0.982384	0.983181	0.983817	0.984356	0.984827	0.046051	0.039164	0.036024	0.034155	0.032787	0.031711	0.030790	0.029962	
0.993017	164.035960	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
